Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 6-18-2015  1:21AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  Main.ngd
output file: Main_pad.csv
Part type:   xc9572xl
Speed grade: -10
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O/GCK3,,,,,,,,,,
P2,timing_pulse,I,I/O,INPUT,,,,,,,,,
P3,fi_pulse,O,I/O,OUTPUT,,,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,sck,I,I/O,INPUT,,,,,,,,,
P6,ssel,I,I/O,INPUT,,,,,,,,,
P7,miso,O,I/O,OUTPUT,,,,,,,,,
P8,mosi,I,I/O,INPUT,,,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,iac_pulse,I,I/O,INPUT,,,,,,,,,
P13,iac_clockwise,I,I/O,INPUT,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,VCC,,VCCINT,,,,,,,,,,
P16,TIE,,I/O,,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TIE,,I/O,,,,,,,,,,
P31,iac_out<7>,O,I/O,OUTPUT,,,,,,,,,
P32,iac_out<6>,O,I/O,OUTPUT,,,,,,,,,
P33,iac_out<5>,O,I/O/GSR,OUTPUT,,,,,,,,,
P34,iac_out<4>,O,I/O/GTS2,OUTPUT,,,,,,,,,
P35,VCC,,VCCINT,,,,,,,,,,
P36,iac_out<3>,O,I/O/GTS1,OUTPUT,,,,,,,,,
P37,iac_out<2>,O,I/O,OUTPUT,,,,,,,,,
P38,iac_out<1>,O,I/O,OUTPUT,,,,,,,,,
P39,iac_out<0>,O,I/O,OUTPUT,,,,,,,,,
P40,enable,I,I/O,INPUT,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,TIE,,I/O,,,,,,,,,,
P43,clk,GCK,I/O/GCK1,,,,,,,,,,
P44,TIE,,I/O/GCK2,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


